fullVisitorId,channelGrouping,device.deviceCategory,n_sessions,totals.hits,totals.pageviews,bounce_prop,weekend_prop,cluster,cluster_name
213131142648941,Direct,desktop,1,14.0,13.0,0.0,0.0,0,Desktop Engaged
435324061339869,Referral,desktop,3,14.0,11.0,0.0,0.6666666666666666,2,Weekend Warriors
562678147042735,Organic Search,desktop,2,12.5,10.5,0.0,0.0,0,Desktop Engaged
585708896049892,Referral,desktop,1,22.0,20.0,0.0,0.0,0,Desktop Engaged
670722016498267,Referral,desktop,2,9.5,9.5,0.0,0.0,1,Desktop Frecuente
852801263780322,Direct,desktop,1,28.0,22.0,0.0,0.0,0,Desktop Engaged
1123528056036404,Direct,desktop,1,35.0,31.0,0.0,0.0,0,Desktop Engaged
1905118576359487,Organic Search,desktop,2,17.5,17.0,0.0,0.0,0,Desktop Engaged
2527528149176601,Organic Search,mobile,1,15.0,13.0,0.0,0.0,3,Mobile Users
2709834583138581,Direct,desktop,2,8.0,8.0,0.5,0.0,1,Desktop Frecuente
2838359588704338,Organic Search,desktop,1,26.0,23.0,0.0,0.0,0,Desktop Engaged
2871498069867123,Referral,desktop,3,5.0,5.0,0.0,0.0,1,Desktop Frecuente
3038010493412298,Direct,desktop,2,9.5,9.5,0.0,1.0,2,Weekend Warriors
3438471796886087,Direct,desktop,3,15.0,14.0,0.0,0.6666666666666666,2,Weekend Warriors
3450834640354121,Organic Search,desktop,8,13.0,10.5,0.125,0.0,1,Desktop Frecuente
3717831825503026,Organic Search,mobile,2,15.5,15.0,0.5,0.0,3,Mobile Users
3961110741104601,Organic Search,desktop,2,16.5,13.0,0.0,0.5,2,Weekend Warriors
4638983005167591,Referral,desktop,8,3.0,3.0,0.25,0.375,1,Desktop Frecuente
4868452367846670,Organic Search,desktop,7,1.0,1.0,0.5714285714285714,0.1428571428571428,1,Desktop Frecuente
5339642194263188,Organic Search,desktop,16,1.0,1.0,0.75,0.1875,1,Desktop Frecuente
5791622267997002,Display,desktop,6,19.5,16.0,0.0,0.0,1,Desktop Frecuente
5879659021728039,Organic Search,desktop,5,7.0,7.0,0.0,0.0,1,Desktop Frecuente
5987390541733447,Organic Search,desktop,1,42.0,37.0,0.0,0.0,0,Desktop Engaged
6173812362189693,Direct,desktop,8,8.5,8.5,0.25,0.0,1,Desktop Frecuente
6366382357860597,Organic Search,desktop,3,4.0,4.0,0.0,0.0,1,Desktop Frecuente
6911334202687206,Organic Search,desktop,3,5.0,5.0,0.0,0.3333333333333333,1,Desktop Frecuente
7370307513460988,Referral,desktop,3,29.0,21.0,0.0,0.0,0,Desktop Engaged
7610360596308606,Direct,desktop,1,43.0,35.0,0.0,0.0,0,Desktop Engaged
7617910709180468,Organic Search,desktop,4,15.5,13.5,0.0,0.25,1,Desktop Frecuente
7785136914311905,Referral,desktop,6,9.0,8.0,0.0,0.0,1,Desktop Frecuente
7933257389091624,Direct,desktop,4,8.0,6.5,0.0,0.0,1,Desktop Frecuente
7943880251511904,Referral,desktop,2,21.0,16.0,0.0,0.0,0,Desktop Engaged
8569875679640708,Direct,desktop,1,45.0,36.0,0.0,0.0,0,Desktop Engaged
8635110543627771,Referral,desktop,3,35.0,21.0,0.0,0.0,0,Desktop Engaged
8803033727416939,Direct,mobile,1,16.0,13.0,0.0,0.0,3,Mobile Users
9046037663524262,Organic Search,desktop,5,12.0,9.0,0.0,0.0,1,Desktop Frecuente
9644182629851608,Referral,desktop,2,12.5,9.5,0.0,0.0,0,Desktop Engaged
10235349034444058,Referral,desktop,1,15.0,12.0,0.0,0.0,0,Desktop Engaged
10295111715775250,Referral,desktop,2,27.0,21.0,0.0,0.0,0,Desktop Engaged
11012202755429691,Direct,desktop,1,26.0,13.0,0.0,0.0,0,Desktop Engaged
11018661240317813,Referral,desktop,5,14.0,8.0,0.0,0.0,1,Desktop Frecuente
11223364686614335,Organic Search,desktop,1,29.0,22.0,0.0,0.0,0,Desktop Engaged
12559495913113852,Organic Search,desktop,1,14.0,12.0,0.0,0.0,0,Desktop Engaged
12561433643490595,Paid Search,desktop,3,37.0,30.0,0.0,0.0,0,Desktop Engaged
13296981549010416,Organic Search,desktop,1,26.0,21.0,0.0,0.0,0,Desktop Engaged
13937734216012052,Referral,desktop,4,24.0,18.5,0.0,0.0,0,Desktop Engaged
14253006455543633,Organic Search,desktop,2,11.5,11.0,0.0,0.5,2,Weekend Warriors
14262055593378383,Referral,desktop,8,10.5,9.5,0.25,0.125,1,Desktop Frecuente
15618322761092379,Referral,desktop,1,92.0,64.0,0.0,1.0,2,Weekend Warriors
15950283479889703,Organic Search,mobile,4,7.5,6.0,0.5,0.25,3,Mobile Users
16474246784013973,Social,desktop,1,16.0,15.0,0.0,0.0,0,Desktop Engaged
16600374334482677,Referral,desktop,3,39.0,26.0,0.0,0.0,0,Desktop Engaged
16925875208939543,Referral,desktop,6,8.5,7.0,0.1666666666666666,0.0,1,Desktop Frecuente
18248151443924739,Organic Search,desktop,1,26.0,22.0,0.0,1.0,2,Weekend Warriors
18386080117189534,Organic Search,mobile,2,12.0,10.5,0.0,0.0,3,Mobile Users
18400544049332170,Organic Search,desktop,1,25.0,23.0,0.0,0.0,0,Desktop Engaged
19772767330770548,Organic Search,desktop,2,33.5,25.5,0.0,0.0,0,Desktop Engaged
19814677684676098,Referral,desktop,8,6.0,4.5,0.25,0.0,1,Desktop Frecuente
20153652546549774,Referral,desktop,3,35.0,25.0,0.0,0.0,0,Desktop Engaged
20342483972052451,Referral,desktop,2,74.5,55.5,0.0,0.5,2,Weekend Warriors
20502892485275044,Referral,desktop,3,10.0,8.0,0.3333333333333333,0.6666666666666666,1,Desktop Frecuente
20712449954637118,Referral,desktop,2,35.0,24.0,0.0,0.0,0,Desktop Engaged
20772809165725592,Direct,desktop,3,6.0,6.0,0.0,0.0,1,Desktop Frecuente
20941213751022444,Organic Search,desktop,3,13.0,11.0,0.3333333333333333,1.0,2,Weekend Warriors
21724590578150399,Organic Search,desktop,1,27.0,21.0,0.0,0.0,0,Desktop Engaged
21939395292136520,Paid Search,desktop,1,107.0,82.0,0.0,0.0,0,Desktop Engaged
22078954710203778,Referral,desktop,1,82.0,64.0,0.0,0.0,0,Desktop Engaged
24164219255036061,Organic Search,desktop,6,17.0,13.5,0.0,0.1666666666666666,1,Desktop Frecuente
24304007537579808,Referral,desktop,2,20.0,17.5,0.0,0.0,0,Desktop Engaged
24314485741511650,Referral,desktop,4,11.0,8.5,0.0,0.5,1,Desktop Frecuente
24507252193437459,Direct,desktop,3,23.0,16.0,0.0,0.0,0,Desktop Engaged
24725579067754075,Referral,desktop,1,71.0,56.0,0.0,0.0,0,Desktop Engaged
24932550342595467,Paid Search,desktop,2,26.5,21.5,0.0,0.5,2,Weekend Warriors
25383618704224288,Organic Search,desktop,2,14.0,10.5,0.0,0.0,0,Desktop Engaged
25733439009029964,Organic Search,desktop,2,9.5,8.5,0.0,0.0,1,Desktop Frecuente
26203741366904270,Organic Search,desktop,5,16.0,10.0,0.0,0.0,1,Desktop Frecuente
